datetime,Date,time,Hour,Day
03-01-2015 01:00,03/01/2015,1:00,1,03
03-01-2015 02:00,03/01/2015,2:00,2,03
03-01-2015 03:00,03/01/2015,3:00,3,03
03-01-2015 04:00,03/01/2015,4:00,4,03
03-01-2015 05:00,03/01/2015,5:00,5,03
03-01-2015 06:00,03/01/2015,6:00,6,03
03-01-2015 07:00,03/01/2015,7:00,7,03
03-01-2015 08:00,03/01/2015,8:00,8,03
03-01-2015 09:00,03/01/2015,9:00,9,03
03-01-2015 10:00,03/01/2015,10:00,10,03
03-01-2015 11:00,03/01/2015,11:00,11,03
03-01-2015 12:00,03/01/2015,12:00,12,03
03-01-2015 13:00,03/01/2015,13:00,13,03
03-01-2015 14:00,03/01/2015,14:00,14,03
03-01-2015 15:00,03/01/2015,15:00,15,03
03-01-2015 16:00,03/01/2015,16:00,16,03
03-01-2015 17:00,03/01/2015,17:00,17,03
03-01-2015 18:00,03/01/2015,18:00,18,03
03-01-2015 19:00,03/01/2015,19:00,19,03
03-01-2015 20:00,03/01/2015,20:00,20,03
03-01-2015 21:00,03/01/2015,21:00,21,03
03-01-2015 22:00,03/01/2015,22:00,22,03
03-01-2015 23:00,03/01/2015,23:00,23,03
04-01-2015 00:00,04/01/2015,0:00,0,04
04-01-2015 01:00,04/01/2015,1:00,1,04
04-01-2015 02:00,04/01/2015,2:00,2,04
04-01-2015 03:00,04/01/2015,3:00,3,04
04-01-2015 04:00,04/01/2015,4:00,4,04
04-01-2015 05:00,04/01/2015,5:00,5,04
04-01-2015 06:00,04/01/2015,6:00,6,04
04-01-2015 07:00,04/01/2015,7:00,7,04
04-01-2015 08:00,04/01/2015,8:00,8,04
04-01-2015 09:00,04/01/2015,9:00,9,04
04-01-2015 10:00,04/01/2015,10:00,10,04
04-01-2015 11:00,04/01/2015,11:00,11,04
04-01-2015 12:00,04/01/2015,12:00,12,04
04-01-2015 13:00,04/01/2015,13:00,13,04
04-01-2015 14:00,04/01/2015,14:00,14,04
04-01-2015 15:00,04/01/2015,15:00,15,04
04-01-2015 16:00,04/01/2015,16:00,16,04
04-01-2015 17:00,04/01/2015,17:00,17,04
04-01-2015 18:00,04/01/2015,18:00,18,04
04-01-2015 19:00,04/01/2015,19:00,19,04
04-01-2015 20:00,04/01/2015,20:00,20,04
04-01-2015 21:00,04/01/2015,21:00,21,04
04-01-2015 22:00,04/01/2015,22:00,22,04
04-01-2015 23:00,04/01/2015,23:00,23,04
05-01-2015 00:00,05/01/2015,0:00,0,05
05-01-2015 01:00,05/01/2015,1:00,1,05
05-01-2015 02:00,05/01/2015,2:00,2,05
05-01-2015 03:00,05/01/2015,3:00,3,05
05-01-2015 04:00,05/01/2015,4:00,4,05
05-01-2015 05:00,05/01/2015,5:00,5,05
05-01-2015 06:00,05/01/2015,6:00,6,05
05-01-2015 07:00,05/01/2015,7:00,7,05
05-01-2015 08:00,05/01/2015,8:00,8,05
05-01-2015 09:00,05/01/2015,9:00,9,05
